dataset used,classifier,feature used,min,max,median,mean
all,LSTM,contractive,0.4,0.78125,0.5625,0.5589460782608696
all,SVC,phase,0.375,0.75,0.6176470588235294,0.6127273373117362
all,SVC,breathing,0.5,0.8888888888888888,0.65625,0.6782537652742257
all,SVC,heartbeat,0.3,0.7,0.5294117647058824,0.5235489485649333
all,SVC,combined br hb,0.46875,0.9166666666666666,0.6470588235294118,0.666743037794828
all,SVC,undercomplete,0.4375,0.8888888888888888,0.5882352941176471,0.5926754759874964
all,SVC,sparse,0.43333333333333335,0.75,0.625,0.6118020034100595
all,SVC,deep,0.4,0.6875,0.5588235294117647,0.5480924978687127
all,SVC,contractive,0.44117647058823534,0.78125,0.625,0.6134395424836601
all,XGBoost,phase,0.4375,0.7941176470588235,0.6388888888888888,0.6349246945154873
all,XGBoost,breathing,0.4375,0.8888888888888888,0.65625,0.674616368286445
all,XGBoost,heartbeat,0.40625,0.6333333333333333,0.5,0.5142458795112248
all,XGBoost,combined br hb,0.34375,0.8666666666666667,0.6764705882352942,0.6765505115089514
all,XGBoost,undercomplete,0.4722222222222222,0.71875,0.59375,0.6022591645353793
all,XGBoost,sparse,0.5,0.8055555555555556,0.59375,0.605953395851094
all,XGBoost,deep,0.4444444444444444,0.7222222222222222,0.5666666666666667,0.5709434498437055
all,XGBoost,contractive,0.4666666666666667,0.78125,0.59375,0.5968119494174481
all,kNN,phase,0.4166666666666667,0.8,0.625,0.6308184143222505
all,kNN,breathing,0.5,0.9444444444444444,0.6875,0.6941904660414889
all,kNN,heartbeat,0.35294117647058826,0.7,0.53125,0.53048273657289
all,kNN,combined br hb,0.375,0.9166666666666666,0.625,0.6439364876385336
all,kNN,undercomplete,0.4444444444444444,0.6666666666666666,0.6,0.579507672634271
all,kNN,sparse,0.40625,0.8529411764705882,0.6333333333333333,0.6299623472577436
all,kNN,deep,0.43333333333333335,0.78125,0.59375,0.5989911906791702
all,kNN,contractive,0.375,0.84375,0.6176470588235294,0.6127788434214265
all,naive_bayesian,phase,0.4117647058823529,0.6875,0.5,0.5280086672350099
all,naive_bayesian,breathing,0.3333333333333333,0.9444444444444444,0.6470588235294118,0.63018968456948
all,naive_bayesian,heartbeat,0.23333333333333334,0.6875,0.53125,0.5221192100028418
